         t           |          x           |          y           |        x-real        |        y-real        |       x-error        |       y-error        | 
           0,0860000 |           -0,0897020 |              1,08609 |           -0,0861060 |              1,08959 |          -0,00359594 |          -0,00350213 | 
           0,0870000 |           -0,0907886 |              1,08709 |           -0,0871098 |              1,09068 |          -0,00367879 |          -0,00358380 | 
           0,0880000 |           -0,0918762 |              1,08809 |           -0,0881136 |              1,09176 |          -0,00376255 |          -0,00366638 | 
           0,0890000 |           -0,0929648 |              1,08910 |           -0,0891175 |              1,09285 |          -0,00384723 |          -0,00374987 | 
           0,0900000 |           -0,0940544 |              1,09010 |           -0,0901215 |              1,09393 |          -0,00393282 |          -0,00383428 | 
           0,0910000 |           -0,0951450 |              1,09110 |           -0,0911256 |              1,09502 |          -0,00401932 |          -0,00391959 | 
           0,0920000 |           -0,0962366 |              1,09210 |           -0,0921298 |              1,09611 |          -0,00410673 |          -0,00400581 | 
           0,0930000 |           -0,0973292 |              1,09310 |           -0,0931341 |              1,09719 |          -0,00419505 |          -0,00409294 | 
           0,0940000 |           -0,0984228 |              1,09410 |           -0,0941385 |              1,09828 |          -0,00428428 |          -0,00418097 | 
           0,0950000 |           -0,0995174 |              1,09510 |           -0,0951430 |              1,09937 |          -0,00437442 |          -0,00426991 | 
           0,0960000 |            -0,100613 |              1,09610 |           -0,0961475 |              1,10046 |          -0,00446546 |          -0,00435975 | 
           0,0970000 |            -0,101710 |              1,09711 |           -0,0971522 |              1,10156 |          -0,00455741 |          -0,00445050 | 
           0,0980000 |            -0,102807 |              1,09811 |           -0,0981569 |              1,10265 |          -0,00465026 |          -0,00454214 | 
           0,0990000 |            -0,103906 |              1,09911 |           -0,0991618 |              1,10374 |          -0,00474401 |          -0,00463469 | 
            0,100000 |            -0,105005 |              1,10011 |            -0,100167 |              1,10484 |          -0,00483867 |          -0,00472814 | 
            0,101000 |            -0,106106 |              1,10111 |            -0,101172 |              1,10593 |          -0,00493423 |          -0,00482249 | 
            0,102000 |            -0,107208 |              1,10211 |            -0,102177 |              1,10703 |          -0,00503068 |          -0,00491773 | 
            0,103000 |            -0,108310 |              1,10311 |            -0,103182 |              1,10813 |          -0,00512804 |          -0,00501387 | 
            0,104000 |            -0,109414 |              1,10411 |            -0,104188 |              1,10923 |          -0,00522629 |          -0,00511091 | 
            0,105000 |            -0,110518 |              1,10512 |            -0,105193 |              1,11032 |          -0,00532545 |          -0,00520885 | 
            0,106000 |            -0,111624 |              1,10612 |            -0,106199 |              1,11142 |          -0,00542549 |          -0,00530767 | 
            0,107000 |            -0,112731 |              1,10712 |            -0,107204 |              1,11253 |          -0,00552644 |          -0,00540739 | 
            0,108000 |            -0,113838 |              1,10812 |            -0,108210 |              1,11363 |          -0,00562827 |          -0,00550801 | 
            0,109000 |            -0,114947 |              1,10912 |            -0,109216 |              1,11473 |          -0,00573100 |          -0,00560951 | 
            0,110000 |            -0,116057 |              1,11012 |            -0,110222 |              1,11583 |          -0,00583463 |          -0,00571190 | 
            0,111000 |            -0,117167 |              1,11112 |            -0,111228 |              1,11694 |          -0,00593914 |          -0,00581518 | 
            0,112000 |            -0,118279 |              1,11213 |            -0,112234 |              1,11804 |          -0,00604454 |          -0,00591936 | 
            0,113000 |            -0,119391 |              1,11313 |            -0,113241 |              1,11915 |          -0,00615084 |          -0,00602441 | 
            0,114000 |            -0,120505 |              1,11413 |            -0,114247 |              1,12026 |          -0,00625802 |          -0,00613036 | 
            0,115000 |            -0,121620 |              1,11513 |            -0,115254 |              1,12137 |          -0,00636609 |          -0,00623718 | 
            0,116000 |            -0,122735 |              1,11613 |            -0,116260 |              1,12248 |          -0,00647504 |          -0,00634490 | 
            0,117000 |            -0,123852 |              1,11713 |            -0,117267 |              1,12359 |          -0,00658488 |          -0,00645349 | 
            0,118000 |            -0,124970 |              1,11813 |            -0,118274 |              1,12470 |          -0,00669560 |          -0,00656297 | 
            0,119000 |            -0,126088 |              1,11913 |            -0,119281 |              1,12581 |          -0,00680721 |          -0,00667333 | 
            0,120000 |            -0,127208 |              1,12014 |            -0,120288 |              1,12692 |          -0,00691970 |          -0,00678457 | 
            0,121000 |            -0,128329 |              1,12114 |            -0,121295 |              1,12803 |          -0,00703307 |          -0,00689668 | 
            0,122000 |            -0,129450 |              1,12214 |            -0,122303 |              1,12915 |          -0,00714732 |          -0,00700968 | 
            0,123000 |            -0,130573 |              1,12314 |            -0,123310 |              1,13026 |          -0,00726245 |          -0,00712355 | 
            0,124000 |            -0,131696 |              1,12414 |            -0,124318 |              1,13138 |          -0,00737845 |          -0,00723830 | 
            0,125000 |            -0,132821 |              1,12514 |            -0,125326 |              1,13250 |          -0,00749534 |          -0,00735392 | 
            0,126000 |            -0,133947 |              1,12614 |            -0,126334 |              1,13362 |          -0,00761310 |          -0,00747042 | 
            0,127000 |            -0,135073 |              1,12715 |            -0,127342 |              1,13473 |          -0,00773173 |          -0,00758779 | 
            0,128000 |            -0,136201 |              1,12815 |            -0,128350 |              1,13585 |          -0,00785124 |          -0,00770603 | 
            0,129000 |            -0,137330 |              1,12915 |            -0,129358 |              1,13697 |          -0,00797163 |          -0,00782515 | 
            0,130000 |            -0,138459 |              1,13015 |            -0,130366 |              1,13810 |          -0,00809288 |          -0,00794513 | 
            0,131000 |            -0,139590 |              1,13115 |            -0,131375 |              1,13922 |          -0,00821501 |          -0,00806598 | 
            0,132000 |            -0,140722 |              1,13215 |            -0,132384 |              1,14034 |          -0,00833800 |          -0,00818770 | 
            0,133000 |            -0,141854 |              1,13316 |            -0,133392 |              1,14147 |          -0,00846187 |          -0,00831029 | 
            0,134000 |            -0,142988 |              1,13416 |            -0,134401 |              1,14259 |          -0,00858660 |          -0,00843374 | 
            0,135000 |            -0,144123 |              1,13516 |            -0,135410 |              1,14372 |          -0,00871220 |          -0,00855806 | 
            0,136000 |            -0,145258 |              1,13616 |            -0,136420 |              1,14484 |          -0,00883867 |          -0,00868325 | 
            0,137000 |            -0,146395 |              1,13716 |            -0,137429 |              1,14597 |          -0,00896600 |          -0,00880929 | 
            0,138000 |            -0,147533 |              1,13816 |            -0,138438 |              1,14710 |          -0,00909420 |          -0,00893620 | 
            0,139000 |            -0,148671 |              1,13916 |            -0,139448 |              1,14823 |          -0,00922326 |          -0,00906397 | 
